time,userid,status
2023-04-16T14:41:50,72098,200
2023-04-16T14:41:51,481955,200
2023-04-16T14:41:51,599622,200
2023-04-16T14:41:51,755463,200
2023-04-16T14:41:51,704162,200
2023-04-16T14:41:52,517217,200
2023-04-16T14:41:52,402561,200
2023-04-16T14:41:52,159262,200
2023-04-16T14:41:52,215455,200
2023-04-16T14:41:53,876818,200
2023-04-16T14:41:53,585354,200
2023-04-16T14:41:54,440232,200
2023-04-16T14:41:54,37080,200
2023-04-16T14:41:54,881356,200
2023-04-16T14:41:54,648180,200
2023-04-16T14:41:54,283114,200
2023-04-16T14:41:55,333636,200
2023-04-16T14:41:55,154110,200
2023-04-16T14:41:55,962517,200
2023-04-16T14:41:56,803826,200
2023-04-16T14:41:56,742315,200
2023-04-16T14:41:56,186647,200
2023-04-16T14:41:56,263956,200
2023-04-16T14:41:56,500750,200
2023-04-16T14:41:56,373694,200
2023-04-16T14:41:56,746065,200
2023-04-16T14:41:57,725778,200
2023-04-16T14:41:57,723329,200
2023-04-16T14:41:57,313502,200
2023-04-16T14:41:57,761263,200
2023-04-16T14:41:58,690783,200
2023-04-16T14:41:58,201482,200
2023-04-16T14:41:58,181797,200
2023-04-16T14:41:59,921501,200
2023-04-16T14:41:59,15729,200
2023-04-16T14:41:59,798046,200
2023-04-16T14:41:59,491188,200
2023-04-16T14:41:59,998875,200
2023-04-16T14:41:59,10426,200
2023-04-16T14:42:00,806755,200
2023-04-16T14:42:00,205285,200
2023-04-16T14:42:00,446675,200
2023-04-16T14:42:00,870413,200
2023-04-16T14:42:00,818380,200
2023-04-16T14:42:01,529767,200
2023-04-16T14:42:02,689608,200
2023-04-16T14:42:02,261261,200
2023-04-16T14:42:02,963320,200
2023-04-16T14:42:03,793061,200
2023-04-16T14:42:03,568396,200
2023-04-16T14:42:03,536863,200
2023-04-16T14:42:03,515212,200
2023-04-16T14:42:03,940584,200
2023-04-16T14:42:04,443782,200
2023-04-16T14:42:04,624803,200
2023-04-16T14:42:04,374534,200
2023-04-16T14:42:05,9148,200
2023-04-16T14:42:05,286545,200
2023-04-16T14:42:05,209835,200
2023-04-16T14:42:05,806562,200
2023-04-16T14:42:06,30934,200
2023-04-16T14:42:06,751526,200
2023-04-16T14:42:06,669308,200
2023-04-16T14:42:07,396481,200
2023-04-16T14:42:07,937941,200
2023-04-16T14:42:08,621873,200
2023-04-16T14:42:08,552709,200
2023-04-16T14:42:08,916379,200
2023-04-16T14:42:08,801528,200
2023-04-16T14:42:09,961413,200
2023-04-16T14:42:09,965288,200
2023-04-16T14:42:09,165903,200
